rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,session,subject,sex,handedness,age,responses,test_part,condition,correct_response,angle,correct
1070,img/90_210.png,74,image-keyboard-response,145,310556,0.0-6.0-1.69,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,146,311058,0.0-6.0-0.70,2,MASC,f,rechts,23,,fixation,,,,
1070,img/60_90.png,74,image-keyboard-response,147,312129,0.0-6.0-1.70,2,MASC,f,rechts,23,,,self,j,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,148,312480,0.0-6.0-0.71,2,MASC,f,rechts,23,,fixation,,,,
946,img/90_150.png,70,image-keyboard-response,149,313427,0.0-6.0-1.71,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,150,313830,0.0-6.0-0.72,2,MASC,f,rechts,23,,fixation,,,,
716,img/0_60.png,74,image-keyboard-response,151,314547,0.0-6.0-1.72,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,152,314899,0.0-6.0-0.73,2,MASC,f,rechts,23,,fixation,,,,
781,img/0_150.png,74,image-keyboard-response,153,315681,0.0-6.0-1.73,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,154,316082,0.0-6.0-0.74,2,MASC,f,rechts,23,,fixation,,,,
910,img/30_120.png,74,image-keyboard-response,155,316994,0.0-6.0-1.74,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,156,317495,0.0-6.0-0.75,2,MASC,f,rechts,23,,fixation,,,,
968,img/30_180.png,74,image-keyboard-response,157,318464,0.0-6.0-1.75,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,158,318766,0.0-6.0-0.76,2,MASC,f,rechts,23,,fixation,,,,
1268,img/90_60.png,74,image-keyboard-response,159,320036,0.0-6.0-1.76,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,160,320487,0.0-6.0-0.77,2,MASC,f,rechts,23,,fixation,,,,
1006,img/120_90.png,70,image-keyboard-response,161,321495,0.0-6.0-1.77,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,162,321845,0.0-6.0-0.78,2,MASC,f,rechts,23,,fixation,,,,
991,img/150_240.png,74,image-keyboard-response,163,322837,0.0-6.0-1.78,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,164,323289,0.0-6.0-0.79,2,MASC,f,rechts,23,,fixation,,,,
1082,img/30_60.png,74,image-keyboard-response,165,324372,0.0-6.0-1.79,2,MASC,f,rechts,23,,,self,j,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,166,324674,0.0-6.0-0.80,2,MASC,f,rechts,23,,fixation,,,,
1067,img/60_30.png,74,image-keyboard-response,167,325742,0.0-6.0-1.80,2,MASC,f,rechts,23,,,self,j,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,168,326043,0.0-6.0-0.81,2,MASC,f,rechts,23,,fixation,,,,
1205,img/90_300.png,70,image-keyboard-response,169,327249,0.0-6.0-1.81,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,170,327701,0.0-6.0-0.82,2,MASC,f,rechts,23,,fixation,,,,
1006,img/L120_180.png,70,image-keyboard-response,171,328709,0.0-6.0-1.82,2,MASC,f,rechts,23,,,self,f,120,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,172,329160,0.0-6.0-0.83,2,MASC,f,rechts,23,,fixation,,,,
889,img/90_240.png,74,image-keyboard-response,173,330050,0.0-6.0-1.83,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,174,330352,0.0-6.0-0.84,2,MASC,f,rechts,23,,fixation,,,,
1120,img/60_210.png,74,image-keyboard-response,175,331473,0.0-6.0-1.84,2,MASC,f,rechts,23,,,self,j,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,176,331825,0.0-6.0-0.85,2,MASC,f,rechts,23,,fixation,,,,
956,img/150_90.png,70,image-keyboard-response,177,332782,0.0-6.0-1.85,2,MASC,f,rechts,23,,,self,f,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,178,333284,0.0-6.0-0.86,2,MASC,f,rechts,23,,fixation,,,,
848,img/150_270.png,74,image-keyboard-response,179,334133,0.0-6.0-1.86,2,MASC,f,rechts,23,,,self,j,150,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,180,334485,0.0-6.0-0.87,2,MASC,f,rechts,23,,fixation,,,,
768,img/0_30.png,74,image-keyboard-response,181,335254,0.0-6.0-1.87,2,MASC,f,rechts,23,,,self,j,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,182,335606,0.0-6.0-0.88,2,MASC,f,rechts,23,,fixation,,,,
900,img/L90_180.png,70,image-keyboard-response,183,336507,0.0-6.0-1.88,2,MASC,f,rechts,23,,,self,f,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,184,336909,0.0-6.0-0.89,2,MASC,f,rechts,23,,fixation,,,,
950,img/30_240.png,70,image-keyboard-response,185,337860,0.0-6.0-1.89,2,MASC,f,rechts,23,,,self,f,30,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,186,338264,0.0-6.0-0.90,2,MASC,f,rechts,23,,fixation,,,,
1242,img/60_150.png,70,image-keyboard-response,187,339507,0.0-6.0-1.90,2,MASC,f,rechts,23,,,self,f,60,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,188,339809,0.0-6.0-0.91,2,MASC,f,rechts,23,,fixation,,,,
1127,img/90_30.png,74,image-keyboard-response,189,340937,0.0-6.0-1.91,2,MASC,f,rechts,23,,,self,j,90,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,190,341239,0.0-6.0-0.92,2,MASC,f,rechts,23,,fixation,,,,
625,img/0_270.png,70,image-keyboard-response,191,341865,0.0-6.0-1.92,2,MASC,f,rechts,23,,,self,f,0,TRUE
null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,192,342367,0.0-6.0-0.93,2,MASC,f,rechts,23,,fixation,,,,
774,img/30_90.png,74,image-keyboard-response,193,343142,0.0-6.0-1.93,2,MASC,f,rechts,23,,,self,j,30,TRUE
